event_id,event_time,ingestion_date,loan_id,customer_id,event_type,installment_number,principal_amount,installment_amount,outstanding_balance,interest_rate,term_months,days_past_due,loan_status,channel,region,product_type
EVT000009910,2026-01-15 11:07:43,2026-01-16,LN100996,CU900996,PAYMENT,1,29494178.0,770387.93,28723790.07,0.3224,24,0,ACTIVE,ONLINE,BOGOTA,CONSUMO
EVT000004775,2024-04-12 12:15:51,2024-04-12,LN100479,CU900479,PAYMENT,5,11881928.0,184704.57,10958405.15,0.1109,24,0,ACTIVE,ONLINE,CUNDINAMARCA,CONSUMO
EVT000019291,2025-09-15 10:36:57,2025-09-16,LN101946,CU901946,PAYMENT,4,5290300.0,131278.79,4765184.84,0.2963,24,0,ACTIVE,ONLINE,ANTIOQUIA,CONSUMO
EVT000018583,2024-03-26 12:28:51,2024-03-27,LN101877,CU901877,PAYMENT,3,8280841.0,271501.17,7466337.49,0.2918,18,0,ACTIVE,ONLINE,ATLANTICO,CONSUMO
EVT000002047,2023-09-15 15:37:42,2023-09-15,LN100203,CU900203,PAYMENT,2,13435381.0,308409.17,12818562.66,0.2591,24,0,ACTIVE,ONLINE,,CONSUMO
EVT000012388,2026-05-14 09:41:18,2026-05-14,LN101245,CU901245,PAYMENT,7,7330382.0,75478.5,6802032.5,0.1089,36,126,DELINQUENT,ONLINE,ANTIOQUIA,CONSUMO
EVT000004241,2024-10-03 09:50:14,,LN100425,CU900425,DISBURSEMENT,0,13976332.0,303496.05,13976332.0,0.2343,24,0,ACTIVE,APP,VALLE,LIBRANZA
EVT000005403,2023-06-16 17:41:33,2023-06-16,LN100542,CU900542,DISBURSEMENT,0,3297909.0,280718.01,3297909.0,0.2256,6,0,ACTIVE,AGENTE,BOGOTA,LIBRANZA
EVT000002288,2025-06-18 13:23:46,2025-06-18,LN100227,CU900227,PAYMENT,5,18950614.0,386971.54,17015756.3,0.1063,18,25,DELINQUENT,ONLINE,ATLANTICO,CONSUMO
EVT000018070,2024-06-08 01:57:44,,LN101823,CU901823,PAYMENT,3,12252091.0,91615.01,11977245.97,0.0991,48,68,DELINQUENT,AGENTE,ANTIOQUIA,CONSUMO
EVT000006810,2025-05-27 00:16:36,2025-05-27,LN100682,CU900682,DISBURSEMENT,1,29408707.0,327122.85,29081584.15,0.1337,36,0,ACTIVE,APP,NARINO,CONSUMO
EVT000007524,2025-02-15 15:24:13,2025-02-15,LN100755,CU900755,PAYMENT,1,6276809.0,63584.08,6213224.92,0.1039,36,38,DELINQUENT,APP,RISARALDA,MICROCREDITO
